input_ingredients,top_k,top_p,temperature,recipe
"chicken, garlic, onion, spices",30,0.8,0.7,"chicken, garlic, onion, spices"", ""1 can chicken broth"", ""1 can cream of chicken soup"", ""1/2 can water"", ""1 can cream of chicken soup"", ""1 c. milk"", ""1 c. grated cheese"", ""salt and pepper to taste"", ""1 can chicken broth""] [""Mix all ingredients together and put in a 9 x 13-inch casserole dish. "", ""Bake at 350\u00b0 for 1 hour. ""] [""Bake at 350\u00b0 for 1 hour. ""] [""Mix all ingredients together and pour over chicken. "", ""Cover and bake at 350\u00b0 for 1 hour. ""] [""Bake at 350\u00b0 for 1 hour. ""] ""Serve with crackers. ""] [""Makes 6 servings. ""] [""Bake at 350\u00b0 for 1 hour. ""] [""Bake at 350\u00b0 for 1 hour. """
"chicken, garlic, onion, spices",30,0.8,0.8,"chicken, garlic, onion, spices and red pepper"", ""1 c. milk"", ""1/2 c. sugar"", ""1/4 c. vinegar"", ""1/2 tsp. mustard"", ""1/2 tsp. turmeric"", ""1/2 tsp. salt"", ""1/4 tsp. pepper"", ""1/2 c. chopped celery"", ""1/2 c. chopped onions""] [""Mix together and serve with crackers. ""] [""Mix in a large pan. "", ""Cook at 350\u00b0 for 45 minutes. "", ""Serve with crackers. ""] [""Makes 2 pints. ""] [""Serves 8. ""] [""Brown on medium heat in a small pan. ""] ""Serves 4. ""] [""Recipe can be doubled or tripled. ""] ""Serves 6. ""] [""Recipe is from the book of American roulette. ""] [""Can be doubled. ""] [""Serves 6. ""] [""Recipe is from the book"
"chicken, garlic, onion, spices",30,0.8,1.0,"chicken, garlic, onion, spices"", ""hot sauce"", ""2 Tbsp. melted butter"", ""1/2 tsp. garlic powder"", ""1/2 tsp. pepper"", ""2 Tbsp. sugar"", ""1/2 c. chopped celery"", ""1/2 c. chopped green peppers"", ""1/2 c. chopped onion"", ""1/2 c. chopped bell pepper"", ""1 Tbsp. salt"", ""1/2 tsp. pepper"", ""1 c. shredded Cheddar cheese"", ""2 c. grated Cheddar cheese""] [""Place first 6 ingredients in a casserole dish. Cover and bake at 350\u00b0 for 30 minutes. ""] [""Combine remaining ingredients in a bowl and pour over top of vegetables in casserole dish. Sprinkle with cheese. "", ""Bake at 350\u00b0 for 30 minutes. ""] [""Put remaining ingredients on top of cheese and bake at 350\u00"
"chicken, garlic, onion, spices",30,0.9,0.7,"chicken, garlic, onion, spices and pepper"", ""1 c. water"", ""1/2 c. white vinegar"", ""1/4 c. vinegar"", ""1 tsp. salt"", ""1/4 c. sugar"", ""1/4 c. white Karo"", ""1 Tbsp. Worcestershire sauce""] [""Bring to a boil and cook until tender. "", ""Add sugar and vinegar. "", ""Mix well. "", ""Pour over vegetables and cook until tender. "", ""Add Worcestershire sauce and cook until hot. ""] [""Makes 4 servings. ""] [""Cook at 350\u00b0 for 2 hours. "", ""If you don't have a large pot, you can cook it in a small pot. ""] [""Can also use 2 quarts of water or 1 quart water and cook in a large pot. ""] [""Serves 8. ""] [""Makes 4 servings. ""] [""Makes 4 servings. ""] [""Serves 8. ""] ["""
"chicken, garlic, onion, spices",30,0.9,0.8,"chicken, garlic, onion, spices, cilantro, green pepper and green chili peppers"", ""1/2 c. catsup"", ""1 tsp. salt"", ""1 tsp. ground cumin"", ""1 tsp. salt"", ""1/2 tsp. pepper"", ""1 c. ketchup"", ""1 (4 oz. ) can beef broth"", ""1 c. water"", ""2 Tbsp. chili powder""] [""Heat chicken broth and catsup together. "", ""Add spices, cumin, salt, cumin and chili powder. "", ""Bring to a boil. "", ""Add meat. "", ""Add water and bring to a boil. "", ""Cook for 15 minutes. ""] [""Remove bay leaves. "", ""Add chicken and catsup. "", ""Stir in beef broth. "", ""Let simmer until tender. "", ""Add water. "", ""Stir in beef and catsup. Add beef mixture. "", ""Cook over medium heat until beef is tender. "", ""Add ketchup and heat until it is thickened"
"chicken, garlic, onion, spices",30,0.9,1.0,"chicken, garlic, onion, spices"", ""salt and pepper"", ""1 lb. ground beef"", ""1 c. beef, browned"", ""2 medium tomatoes, chopped"", ""4 potatoes, cut up"", ""2 eggs, beaten"", ""salt and pepper""] [""Preheat oven to 350\u00b0. "", ""Arrange meat in 9 x 13-inch baking dish. "", ""Cut meat into chunks, then add all of the remaining ingredients except eggs. "", ""Cover and bake for 25 to 30 minutes in a 350\u00b0 oven. "", ""Serve with biscuits. "", ""Yields 8 servings. ""] [""Bake for 20 minutes or until biscuits are browned. ""] [""Remove bay leaves and chop into bite size pieces. "", ""Combine biscuit mix and biscuits and sprinkle with salt and pepper. ""] ""Pour into baking dish. "", ""Bake 1 1/2 hours longer or until biscuits are lightly brown. "", ""Do not overcook"
"chicken, garlic, onion, spices",30,0.95,0.7,"chicken, garlic, onion, spices, basil and parsley"", ""1 lb. ground beef"", ""1 can cream of mushroom soup"", ""1 c. milk"", ""1 c. cooked rice"", ""1 c. shredded Cheddar cheese"", ""1 can mushrooms, chopped"", ""1 c. chicken broth"", ""1/2 c. brown sugar"", ""1/4 c. melted butter"", ""1/2 c. grated Parmesan cheese""] [""Brown ground beef in skillet. "", ""Drain. "", ""Mix all ingredients. "", ""Stir in soup and 1 cup of the cooked rice and simmer until rice is done. "", ""Add 1 cup of water. "", ""Stir in remaining rice. "", ""Cook and stir until thickened. "", ""Pour into casserole dish and bake at 350\u00b0 for 1 hour. "", ""Serves 6. ""] [""Brown chicken on both sides with butter. "", ""Pour over the chicken and cook until done. ""]"
"chicken, garlic, onion, spices",30,0.95,0.8,"chicken, garlic, onion, spices"", ""1 c. flour"", ""1 tsp. salt"", ""1/2 tsp. cayenne pepper"", ""1 tsp. dry mustard"", ""1 tsp. thyme"", ""1 tsp. garlic powder"", ""1/2 c. oil""] [""Mix ingredients together and shape into small loaves. ""] [""Bake at 375\u00b0 for 45 minutes or until done. ""] [""Bake loaves in a 400\u00b0 oven. ""] ""Makes one loaf or 2 loaves. ""] [""Bake loaves for 15 minutes to an hour or until done. ""] ""Remove from oven and let cool. ""] [""Makes 6 loaves. ""] [""Makes 6 loaves. ""] [""Bake loaves for 12 minutes. ""] ""Makes 8 loaves. ""] ""Makes 4 loaves. ""] ""Makes 4 loaves. ""] [""Bake loaves for 3"
"chicken, garlic, onion, spices",30,0.95,1.0,"chicken, garlic, onion, spices and poultry seasoning"", ""3 Tbsp. soy sauce"", ""3 Tbsp. sugar"", ""1 medium can tuna, drained"", ""3 lb. boneless (4 oz. ) chicken breasts, cut in half"", ""1 qt. water"", ""2 Tbsp. vinegar"", ""1 Tbsp. salt"", ""1 tsp. dry mustard"", ""1 tsp. paprika""] [""Combine seasoning, sugar, water and vinegar in mixing bowl and let stand 2 hours. Stir and pour into casserole. Place chicken pieces on each side of casserole. Broil or waffle chicken pieces until tender. Place over broiler until hot, 3 minutes. ""] [""Drain chicken. "", ""Heat oven to 350\u00b0. Saute chicken in 1 tablespoon soy sauce. Add garlic and onion. Cover and let stand 20 to 30 minutes. Stir in soy sauce, sugar, vinegar and salt. Cover and simmer 20"
"chicken, garlic, onion, spices",50,0.8,0.7,"chicken, garlic, onion, spices and paprika"", ""1/2 c. ketchup"", ""1/2 c. milk"", ""1 tsp. Worcestershire sauce"", ""1/4 tsp. ground cumin"", ""1/4 tsp. pepper"", ""1/4 tsp. ground cayenne pepper"", ""1/4 tsp. salt"", ""1/4 tsp. curry powder""] [""Mix all ingredients together, except curry powder. "", ""Add all ingredients and mix well. "", ""Put in a greased casserole dish and bake at 350\u00b0 for 30 minutes. ""] [""Makes about 6 servings. ""] [""Serves 6. ""] [""Bake at 350\u00b0 for 30 minutes. ""] [""Bake 1/2 hour longer. ""] [""You can use any flavor chicken or turkey. "", ""This is a great recipe for chicken or turkey. ""] [""This recipe can be made ahead of time and used"
